食物名称(100g),热量(kcal),硫胺素(mg),钙(mg),蛋白质(g),核黄素(mg),镁(mg),脂肪(g),烟酸(mg),铁(mg),碳水化合物(g),维生素C(mg),锰(mg),膳食纤维(g),维生素E(mg),锌(mg),维生素A(ug),胆固醇(mg),铜(mg),胡萝卜素(ug),钾(mg),磷(mg),视黄醇当量(ug),钠(mg),硒(mg),label
钙质糕粉,362,1,116,8,0,93,1,2,2,80,0,1,2,0,2,0,29,0,1,169,202,8,6,2,25
健儿粉,369,0,137,7,1,21,1,1,2,83,0,1,0,0,1,13,0,0,1,113,181,8,22,2,3
莲子健儿粉,352,0,12,8,0,61,1,1,3,78,0,1,0,0,2,0,0,0,1,141,61,12,4,3,3
乳儿糕,365,0,143,12,0,66,3,2,3,74,1,1,1,0,2,0,0,0,1,232,272,10,123,3,3
婴儿奶糕,343,0,61,10,1,1,1,2,2,73,0,1,1,0,1,0,0,0,3,398,415,12,106,7,3
婴儿营养粉[婴宝*5410*],426,1,668,17,1,97,13,4,6,61,20,1,0,4,2,540,0,0,3,696,490,6,95,0,25
营养乳儿糕,364,0,408,8,0,36,2,5,1,79,0,0,0,1,0,669,0,0,3,137,435,8,112,9,3
艾窝窝,190,0,19,4,0,13,0,1,0,43,0,0,0,0,0,0,0,1,0,53,34,52,2,2,1
白水羊头,193,0,41,22,0,11,11,1,5,1,0,0,0,1,2,13,92,0,4,32,110,62,899,11,8
茶汤,93,0,17,2,0,17,0,0,1,21,0,0,0,0,0,0,0,0,2,42,41,75,24,1,1
炒肝,96,0,22,3,0,14,8,2,3,3,0,0,0,0,1,150,91,0,1,27,28,85,260,0,1
春卷,463,0,10,6,0,36,34,3,2,34,0,0,1,4,1,0,0,0,2,89,94,24,486,6,0
豆腐脑(带卤),47,0,301,3,0,35,2,0,2,5,0,0,0,1,0,0,0,0,2,108,46,88,236,0,1
粉皮,61,0,5,0,0,2,0,0,0,14,0,0,1,0,0,0,0,0,0,15,2,84,4,0,1
灌肠,134,0,11,0,0,5,0,0,6,32,0,0,0,0,0,0,0,0,1,18,11,66,12,5,1
煎饼,336,0,9,8,0,86,1,0,7,75,0,1,9,0,2,0,0,0,1,117,320,7,86,4,3
焦圈,530,0,24,7,0,103,35,8,0,47,0,2,2,1,2,0,0,0,4,263,157,6,762,11,0
京八件,435,0,15,7,0,23,16,4,3,65,0,0,3,6,0,7,0,0,0,81,54,8,17,13,3
栗羊羹,301,0,80,4,0,22,1,0,1,70,0,0,1,1,1,0,0,0,1,16,41,24,6,1,13
凉粉,37,0,9,0,0,3,0,0,1,8,0,0,1,0,0,0,0,0,0,5,1,90,3,1,1
凉粉(带调料),51,0,9,0,0,8,0,0,1,11,0,0,0,0,0,0,0,0,0,0,3,88,0,0,1
凉面,167,0,2,5,0,8,2,0,4,33,0,0,0,1,1,0,0,0,0,10,61,60,164,9,1
龙虾片,338,0,112,1,0,32,0,0,15,84,0,1,2,0,2,0,0,1,3,25,13,11,640,4,13
驴打滚,194,0,34,8,0,37,0,0,9,40,0,1,2,2,1,0,0,0,1,165,105,48,192,2,3
美味香酥卷,368,0,0,8,1,56,4,2,2,76,0,1,0,5,0,18,0,0,2,152,112,11,186,18,3
蜜麻花[糖耳朵],367,0,99,5,0,98,11,9,4,62,0,1,1,8,1,0,0,0,2,135,83,19,362,7,3
密三刀,425,0,4,4,0,21,14,0,2,70,0,0,1,8,1,0,0,0,0,53,71,10,48,9,3
面窝,289,0,38,5,0,21,11,1,0,43,0,0,1,2,0,0,0,0,2,95,77,38,155,10,3
年糕,154,0,31,3,0,43,1,2,2,34,0,0,1,1,1,0,0,0,0,81,52,61,56,2,1
酿皮,106,0,4,4,0,3,0,0,3,22,0,0,0,0,1,0,0,0,1,138,25,72,515,0,1
青稞炒面,356,0,8,12,0,134,2,1,8,72,0,1,5,0,3,0,0,0,2,162,430,7,8,0,3
热干面,152,0,67,4,0,20,2,0,3,28,0,0,0,0,0,0,0,0,2,46,58,63,166,6,1
三刀蜜,383,0,97,4,0,41,10,0,5,68,0,0,1,12,8,0,56,3,1,73,76,16,20,15,3
三鲜豆皮,237,0,4,6,0,3,10,1,1,30,0,0,1,3,1,74,70,0,2,21,47,51,207,0,1
汤泡,236,0,18,8,0,7,12,1,4,25,0,0,0,1,0,0,21,0,1,48,55,54,219,0,1
甜胚子,130,0,0,5,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,67,0,0,1
甜醅,187,0,3,8,0,51,0,0,5,39,0,0,2,0,2,0,0,0,0,124,151,51,4,0,3
豌豆黄,133,0,141,8,0,52,1,2,5,24,0,0,2,3,3,5,0,0,2,137,102,64,152,1,1
香油炒面,407,0,16,12,0,0,5,3,3,79,0,0,2,3,1,17,0,3,1,154,149,2,46,37,3
油茶,94,0,22,2,0,15,1,0,1,19,0,0,1,0,0,0,0,0,0,46,30,76,20,4,1
油炸豆瓣,405,0,63,25,0,77,10,2,2,54,0,1,1,8,4,0,0,1,2,611,245,8,359,10,3
油炸豆花,400,0,0,33,0,0,15,2,0,33,0,0,2,19,0,0,0,0,4,0,0,12,0,0,0
炸糕,280,0,24,6,0,62,12,4,2,36,0,0,1,4,1,0,0,0,1,143,84,44,97,2,3
糌粑(稞麦熟品),257,0,71,4,0,61,13,2,14,31,0,1,2,3,10,0,73,6,1,123,176,49,9,8,21
蛋糕(均值),347,0,39,9,0,24,5,1,2,67,0,1,0,3,1,86,0,1,1,77,130,19,68,14,3
蛋糕(黄蛋糕),320,0,27,10,0,7,6,1,2,57,0,0,0,3,1,48,0,0,0,80,76,27,32,8,3
蛋清蛋糕,339,0,30,6,0,18,2,0,2,73,0,0,0,2,0,55,0,0,0,36,80,18,49,6,13
宫廷蛋糕,334,0,5,7,0,22,3,0,2,68,0,0,1,4,1,79,0,0,0,90,146,20,49,10,3
老年蛋糕,383,0,96,13,0,26,10,2,4,61,0,1,1,4,1,75,0,0,1,221,164,15,118,17,3
奶油蛋糕,378,0,38,7,0,19,14,1,2,56,0,1,1,3,2,175,161,0,0,67,90,22,81,8,3
西式蛋糕,316,0,5,8,0,20,3,0,2,64,0,0,0,4,1,103,0,0,0,86,160,24,48,9,3
月饼(百寿宴点),429,0,31,5,0,14,22,3,2,52,0,0,3,1,1,85,0,0,1,120,72,17,11,3,3
月饼(豆沙),405,0,64,8,0,43,14,2,3,62,0,0,3,8,1,7,0,0,1,211,95,12,22,7,3
月饼(奶油果馅),441,0,12,6,0,36,17,3,4,67,0,0,1,0,1,23,0,0,0,87,45,9,28,1,3
月饼(奶油松仁),438,0,26,6,0,22,21,3,2,55,0,1,4,2,1,62,0,0,1,132,99,13,18,2,3
月饼(唐王赏月),407,0,29,8,0,60,18,3,2,52,0,1,5,10,1,17,0,0,1,114,105,15,57,8,3
月饼(五仁),416,0,54,8,0,27,16,4,3,60,0,0,4,9,1,7,0,0,1,198,110,11,18,7,3
月饼(香油果馅),449,0,18,6,0,36,20,3,3,62,0,0,4,3,1,17,0,0,0,87,81,8,28,2,3
月饼(枣泥),424,0,66,7,0,23,16,3,3,64,0,0,1,1,1,8,0,0,1,178,62,12,24,2,3
板油酥饼,359,0,14,8,0,14,15,1,2,48,0,0,1,2,1,40,49,0,1,102,71,27,324,0,3
蛋黄酥,386,0,47,12,0,38,4,4,3,76,0,1,1,1,1,33,0,1,1,105,181,6,100,12,3
蛋麻脆,452,0,59,9,0,49,17,4,2,65,0,0,2,3,0,174,0,0,2,134,171,5,68,3,3
德庆酥,456,0,38,6,0,40,19,5,1,66,0,0,4,0,0,0,50,0,1,98,106,4,60,1,3
鹅油卷,461,0,53,8,0,55,23,10,3,56,0,1,2,2,1,17,0,0,2,139,113,10,24,10,3
凤尾酥,511,0,40,7,0,9,25,1,0,64,0,0,0,2,0,57,0,0,1,84,94,3,0,22,3
福来酥,465,0,54,6,0,17,21,2,5,62,0,0,2,1,0,54,0,0,1,96,95,7,45,16,3
核桃薄脆,480,0,54,10,0,36,25,6,4,55,0,1,6,4,1,10,0,0,1,147,131,3,251,10,3
黑麻香酥,437,0,89,6,0,50,16,1,7,67,0,0,3,4,1,274,0,0,1,104,107,7,36,2,3
黑洋酥,417,0,8,4,0,3,12,0,6,72,0,1,8,0,1,0,0,0,1,92,144,2,3,3,3
混糖糕点,453,0,77,8,0,47,16,3,4,69,0,0,1,6,1,7,0,0,1,116,96,5,135,8,3
鸡腿酥,436,0,19,6,0,14,13,1,1,73,0,0,0,2,0,0,0,0,1,59,63,7,407,9,13
夹心酥饼,481,0,14,5,0,22,25,0,3,59,0,0,0,3,1,0,0,0,0,66,85,10,19,0,3
江米条,439,0,33,6,0,31,12,2,2,78,0,1,0,14,1,0,0,0,0,68,56,4,46,6,3
金钱酥,474,0,508,11,0,390,23,2,9,55,0,1,8,6,4,0,107,1,2,272,294,1,60,15,7
京式黄酥,490,0,30,6,0,21,22,2,2,67,0,0,0,4,0,17,92,0,0,79,46,4,53,4,3
开口笑,512,0,39,8,0,81,30,6,4,52,0,1,3,28,1,12,0,0,1,143,133,5,68,12,0
廖花糖,392,0,243,7,0,77,14,2,0,59,0,2,12,4,2,0,0,0,1,58,60,7,36,0,3
绿豆糕,349,0,24,13,0,87,1,6,7,72,0,1,1,4,1,47,0,0,1,416,121,12,12,5,3
麻烘糕,397,0,59,4,0,27,4,2,6,87,0,0,0,0,0,0,0,0,1,45,66,4,2,2,13
麻花,524,0,26,8,0,67,32,3,0,52,0,1,2,22,3,0,0,0,1,213,136,6,99,7,0
麻香糕,401,0,23,4,0,19,4,2,1,88,0,0,0,1,0,0,0,0,0,45,46,4,2,4,13
米花糖,384,0,144,3,0,42,3,2,5,86,0,1,0,2,0,0,0,0,0,55,52,7,43,2,13
起酥,499,0,0,9,0,24,32,2,2,45,0,0,0,6,0,55,0,0,2,73,68,13,494,7,0
水晶饼,436,0,49,0,0,49,17,0,4,70,0,1,1,1,1,0,51,0,1,47,106,11,32,15,3
酥皮糕点,426,0,24,8,0,35,16,3,3,64,0,1,1,1,1,12,0,0,1,105,91,11,56,10,3
桃酥,481,0,48,7,0,59,22,2,3,64,0,1,1,14,1,0,0,0,1,90,87,5,34,16,3
硬皮糕点,463,0,42,8,0,41,20,3,1,62,0,1,1,10,1,40,0,0,1,111,123,7,97,13,3
芝麻桃酥,467,0,6,7,0,27,18,0,2,70,0,0,0,14,1,15,0,0,0,78,101,5,2,1,3
状元饼,435,0,0,9,0,28,15,1,5,67,0,0,1,2,1,13,0,0,1,136,61,8,14,0,3
茯苓夹饼,332,0,65,4,0,52,0,1,6,78,0,0,6,5,1,0,0,0,1,105,131,10,103,1,3
蛋片,391,0,6,8,0,20,4,0,2,80,0,0,0,2,1,180,0,0,1,90,153,7,47,16,3
麦片,351,0,8,12,0,108,7,4,4,59,0,3,9,1,2,0,0,0,2,306,339,11,21,6,3
燕麦片,367,0,186,15,0,177,7,1,7,62,0,3,5,3,3,0,0,0,2,214,291,9,4,4,3
玉米片(即食粥),390,0,11,7,0,22,4,2,9,82,0,0,0,0,0,0,0,0,0,52,70,6,2,1,13
方便面,472,0,25,10,0,38,21,1,4,61,0,1,1,2,1,0,0,0,4,134,80,4,1144,10,3
面包(均值),312,0,49,8,0,31,5,2,2,58,0,0,0,2,1,0,0,0,1,88,107,27,230,3,3
多维面包,316,0,49,9,0,32,8,3,3,51,0,0,0,1,1,0,0,0,1,12,110,31,653,17,3
法式牛角面包,375,0,83,8,0,29,14,5,2,53,0,0,2,4,1,0,0,0,1,103,93,21,352,18,3
法式配餐面包,282,0,127,10,0,35,1,6,2,58,0,0,1,1,1,0,0,0,2,113,102,28,478,20,3
果料面包,278,0,124,8,0,29,2,5,2,56,0,0,1,1,1,0,0,0,1,94,100,31,210,24,3
黄油面包,329,0,35,8,0,22,9,2,2,55,0,0,1,5,0,0,0,0,0,92,94,27,14,3,3
乐斯美面包,333,0,22,9,0,26,3,1,2,68,0,0,1,0,2,0,0,0,0,103,99,19,55,3,3
麦胚面包,246,0,75,8,0,24,1,6,2,51,0,0,0,1,0,0,0,0,2,92,88,38,457,20,3
麦维面包,270,0,35,8,1,45,5,5,2,48,0,0,0,0,1,0,0,0,1,70,61,38,151,24,3
维生素面包,279,0,49,9,1,27,6,6,2,48,0,0,0,0,1,0,0,0,1,85,107,36,256,22,3
咸面包,274,0,89,9,0,28,4,4,3,50,0,0,0,1,1,0,0,0,2,89,108,34,526,34,3
椰圈面包,320,0,49,10,0,27,5,1,2,60,0,0,0,2,1,0,0,0,1,90,104,25,106,0,3
桦榕面包,328,0,9,9,0,30,8,0,2,56,0,1,0,2,1,0,0,0,1,90,174,26,236,12,3
饼干(均值),433,0,73,9,0,50,13,5,2,71,3,1,1,5,1,37,81,0,1,85,88,6,204,12,3
VC饼干,572,0,0,11,0,54,40,2,2,43,5,1,0,4,1,0,0,0,1,99,95,6,114,23,0
饼干(强化锌)[富锌饼干],444,0,144,11,0,74,13,2,2,70,0,1,1,8,2,13,0,0,1,117,123,3,231,24,3
补血饼干,452,0,76,12,0,73,15,0,10,68,13,0,0,0,4,0,0,1,1,72,184,4,177,0,3
儿童营养饼干,447,0,136,11,0,59,13,0,5,72,7,0,0,0,3,0,0,0,0,52,172,4,107,0,3
钙奶饼干,444,0,115,8,0,61,13,1,4,73,3,1,1,2,3,0,81,1,1,83,267,3,112,12,3
钙王饼干,450,0,250,8,0,22,14,0,1,73,0,1,0,2,2,12,0,0,2,132,277,3,259,4,3
高蛋白饼干,448,0,111,11,0,60,16,6,4,64,9,1,2,7,1,77,0,1,1,103,159,6,105,27,3
军用压缩饼干,457,0,149,8,0,57,18,5,4,66,0,1,1,1,0,0,0,0,1,106,119,5,320,23,3
奶油饼干,429,0,49,8,0,32,13,4,2,69,0,1,1,7,2,22,81,1,2,110,105,6,196,21,3
牛奶饼干,408,0,6,8,0,30,6,0,3,80,0,1,0,1,2,94,0,0,1,129,102,4,399,3,3
曲奇饼,546,0,45,6,0,19,32,1,2,59,0,0,0,6,0,0,0,0,1,67,64,2,175,13,0
苏打饼干,408,0,0,8,0,20,8,0,2,76,0,0,0,1,0,0,0,0,2,82,69,6,312,39,3
维夫饼干,528,0,58,5,0,24,35,1,2,48,0,0,0,1,1,0,0,0,1,0,63,10,282,10,0
菠萝豆,392,0,19,10,0,4,2,0,9,83,0,3,0,0,2,0,0,0,0,38,100,4,30,4,13
空心果,451,0,114,7,0,28,15,0,5,72,0,0,0,1,1,0,27,0,0,40,53,6,6,0,13
马铃薯片(油炸)[油炸土豆片],612,0,11,4,0,34,48,6,1,40,0,0,2,5,1,8,0,0,2,620,88,4,61,0,0
酥香兰花豆,416,0,59,13,0,40,14,2,2,60,0,1,1,8,2,0,0,1,3,508,157,9,110,9,3
百令可乐,28,0,43,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,4,93,23,0,1
冰川可乐,45,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,89,11,0,1
橙珍(易拉罐装),25,0,8,0,0,2,0,1,0,6,0,0,0,0,0,8,0,0,0,5,1,94,5,0,1
橙汁汽水,20,0,10,0,0,2,0,0,0,5,0,0,0,0,0,10,0,0,0,3,0,95,8,0,1
柠檬汽水,38,0,9,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,90,3,0,1
特制柠檬汽水,50,0,8,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,2,1,88,4,0,1
特制汽水,42,0,8,0,0,2,0,1,0,10,0,0,0,0,0,7,0,0,0,4,1,90,6,0,1
维尔康运动饮料,45,0,6,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,89,5,0,1
VC橘汁,95,0,4,0,0,3,0,0,0,23,187,0,0,0,0,0,0,0,0,25,1,76,4,0,1
浓缩橘汁,235,0,21,1,0,23,0,0,1,57,80,0,0,0,0,122,0,0,0,140,8,41,4,1,13
鲜橘汁(纸盒),30,0,7,0,0,1,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,92,4,0,1
橘子汁,119,0,4,0,0,2,0,0,0,30,2,0,0,0,0,2,0,0,0,6,0,70,19,0,1
刺玫汁(纸盒),32,0,6,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,92,4,0,1
甘蔗汁,64,0,14,0,0,4,0,0,0,15,2,1,1,0,1,2,0,0,0,95,14,83,3,0,1
红果汁,157,0,5,0,0,4,0,0,0,39,0,0,0,0,0,0,0,0,0,10,1,61,19,0,1
柠檬汁,26,0,24,1,0,12,0,0,0,5,11,0,0,0,0,0,0,0,0,120,0,93,1,4,1
沙棘果汁,44,0,10,1,0,1,0,0,15,9,8,0,2,0,0,0,0,0,0,53,3,88,5,1,1
乌梅汁,133,0,6,0,0,4,0,0,0,33,0,0,0,0,0,0,0,0,1,7,0,66,24,0,1
原汁沙棘,48,0,42,3,0,44,0,0,6,9,0,0,0,3,1,0,0,0,2,81,0,86,397,1,1
胡萝卜素王,130,0,7,0,1,1,0,1,0,32,12,0,0,0,0,450,0,0,0,31,0,67,72,0,1
果味奶,20,0,88,1,0,5,1,0,0,2,0,0,0,0,0,0,18,0,0,63,39,96,37,7,1
喜乐(乳酸饮料),53,0,14,1,0,2,0,0,0,12,0,0,0,3,0,2,38,0,0,20,23,87,54,1,1
巧克力豆奶,39,0,17,3,0,19,0,0,0,6,0,0,0,6,0,0,0,0,0,57,36,90,25,0,1
杏仁露,46,0,4,1,0,0,1,0,0,8,1,0,0,0,0,0,52,0,0,1,1,90,9,0,1
茶砖[砖茶],206,0,277,14,0,217,4,2,15,28,0,46,39,0,4,317,0,2,7,844,157,8,15,9,10
茶砖(小),244,0,334,15,1,151,4,0,13,37,0,126,32,0,2,0,0,2,5,624,182,7,85,12,26
红茶,294,0,378,27,0,183,1,6,28,44,8,50,15,5,4,645,0,3,6,1934,390,7,14,56,10
花茶,281,0,454,27,0,192,1,0,18,40,26,17,18,13,4,885,0,2,6,1643,338,7,8,9,30
甲级龙井,309,0,402,33,0,224,3,9,24,38,0,8,11,6,6,888,0,2,9,2812,542,6,54,17,30
绿茶,296,0,325,34,0,196,2,8,14,35,19,33,16,10,4,967,0,2,6,1661,191,8,28,3,10
石榴花茶,320,0,1143,10,0,206,3,4,24,63,0,3,11,7,2,262,0,1,6,2455,165,6,37,15,30
柿叶茶,286,0,0,26,1,0,2,0,0,41,866,0,18,0,0,0,0,0,10,0,0,4,0,0,22
铁观音茶,304,0,416,23,0,131,1,18,9,50,0,14,15,17,2,432,0,1,5,1462,251,6,8,14,4
珠茶,305,0,203,29,0,202,2,7,40,44,44,63,15,17,3,0,0,1,6,739,352,5,13,6,10
茶水,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,100,4,0,1
宝宝福,390,0,29,0,1,10,0,0,13,97,31,0,0,0,0,0,0,0,0,96,5,2,23,0,13
冰淇淋粉,396,0,539,14,0,123,4,0,1,77,0,0,0,0,1,62,86,0,3,235,320,2,181,0,3
固体桔子饮料,391,0,54,0,0,6,0,1,0,98,63,0,0,0,0,0,0,0,0,3,3,2,11,0,13
可可粉,320,0,74,21,0,5,8,1,1,40,0,0,14,6,1,22,0,1,9,360,623,8,23,4,3
麦乳精,429,0,145,8,0,70,10,1,4,77,0,0,0,0,2,113,0,0,3,355,218,2,178,3,3
山楂晶,386,0,37,0,1,8,0,1,2,96,0,0,0,0,0,0,0,0,0,32,3,4,58,0,13
酸梅晶,394,0,29,0,1,6,0,0,7,98,5,0,0,0,2,0,0,0,0,50,4,1,12,0,13
鲜桔晶,385,0,24,0,0,0,0,0,0,96,18,0,0,0,3,0,0,0,0,1,2,4,6,0,13
猕猴桃晶,390,0,28,0,0,11,0,0,2,97,0,0,0,0,0,0,0,0,0,96,4,2,2,2,13
橘子晶,390,0,14,0,1,1,0,0,1,96,3,0,0,0,0,3,0,0,0,3,0,3,33,0,13
冰棍,47,0,31,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,13,88,20,0,1
冰砖,153,0,140,3,0,12,7,0,0,20,0,0,0,1,0,20,0,0,1,141,72,70,44,2,1
冰淇淋,127,0,126,2,0,12,5,0,0,17,0,0,0,0,0,48,0,0,1,125,67,74,54,2,1
大雪糕,74,0,80,2,0,6,1,0,1,14,0,0,0,2,0,35,0,0,0,42,34,82,84,1,1
三明治冰激淋,169,0,196,7,0,16,6,0,2,22,0,0,0,1,2,68,0,0,1,162,79,64,180,0,1
双棒雪糕,137,0,100,2,0,9,4,0,1,24,0,0,0,1,0,45,0,0,0,94,21,70,51,2,1
娃娃头,215,0,147,10,0,32,9,0,1,25,0,0,0,2,1,60,0,0,1,57,130,56,200,3,1
紫雪糕,228,0,168,3,0,16,14,0,1,24,0,0,0,4,1,26,0,0,1,124,64,59,66,3,1
红景天饮料,33,0,1,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,1,84,92,10,0,1
啤酒(均值),16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,96,0,0,1
北京啤酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
北京特制啤酒(6度),17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,96,0,0,1
楚天啤酒(2.6度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
酒泉啤酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
麦饭石啤酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
美雪啤酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
秦海啤酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
清爽型啤酒(6度),14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1
特制啤酒(5度),15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,96,0,0,1
维生素C啤酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
武汉啤酒(3.2度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
五星啤酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
行吟阁啤酒(3.2度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
葡萄酒(均值),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
白葡萄酒(均值),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
红葡萄酒(均值),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
玫瑰香葡萄酒(15度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
黄酒(均值),11,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1
贡米佳酿(14度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
加饭黄酒,400,0,0,2,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
江米酒,400,0,0,2,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
糯香酒(6.4度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
善酿酒,400,0,0,2,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
绍兴黄酒(15度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
元红黄酒,400,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
碧绿酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
崇明老白酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
低度汉酒(37.2度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
二锅头(58度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
甘州大曲,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
汉口白酒(49.6度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
汉口小麦酒(40.7度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
黄鹤楼酒(39度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
