食物名称(100g),热量(kcal),硫胺素(mg),钙(mg),蛋白质(g),核黄素(mg),镁(mg),脂肪(g),烟酸(mg),铁(mg),碳水化合物(g),维生素C(mg),锰(mg),膳食纤维(g),维生素E(mg),锌(mg),维生素A(ug),胆固醇(mg),铜(mg),胡萝卜素(ug),钾(mg),磷(mg),视黄醇当量(ug),钠(mg),硒(mg),label
精制小麦酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
景泰大曲,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
景泰二曲,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
酒泉酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
凉洲曲酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
宁河大曲,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
宁河二曲,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
曲酒(55度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
三粮小麦(55度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
丝路春酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
特制汉酒(59.9度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
特制三粮酒(56.2度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
乌林春酒(青稞酒),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
五酿春(44.4度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
小麦酒(48度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
小麦酒(50度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
燕岭春(57度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
醉流霞(57度),400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
蜜酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
双喜沙棘酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
香雪酒,400,0,0,2,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
中华沙棘酒,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
白砂糖,400,0,20,0,0,3,0,0,1,100,0,0,0,0,0,0,0,0,0,5,8,0,0,0,13
绵白糖,396,0,6,0,0,2,0,0,0,99,0,0,0,0,0,0,0,0,0,2,3,1,2,0,13
冰糖,397,0,23,0,0,2,0,0,1,99,0,0,0,0,0,0,0,0,0,1,0,1,3,0,13
红糖,389,0,157,1,0,54,0,0,2,97,0,0,0,0,0,0,0,0,1,240,11,2,18,4,13
麦芽糖,331,0,0,0,0,0,0,2,0,82,0,0,0,0,0,0,0,0,5,0,0,13,0,0,13
蜂蜜,321,0,4,0,0,2,2,0,1,76,3,0,0,0,0,0,0,0,0,28,3,22,0,0,13
花生牛轧糖,432,0,29,5,0,17,12,0,4,75,0,0,0,11,2,0,0,0,1,73,123,6,168,0,3
胶姆糖,368,0,22,0,0,7,0,0,0,92,0,0,0,0,0,0,0,0,0,4,5,8,0,0,13
马蹄软糖,359,0,26,0,0,4,0,0,1,90,0,0,0,0,1,0,0,0,0,2,4,10,0,0,13
棉花糖,321,0,19,5,0,3,0,0,0,75,0,0,0,0,0,0,0,0,0,2,4,20,95,0,13
奶糖,407,0,50,2,0,20,7,1,3,84,0,0,0,0,0,0,0,0,1,75,26,6,222,1,13
泡泡糖,360,0,6,0,0,3,0,0,0,90,0,0,0,0,0,0,0,0,0,0,4,10,21,0,13
巧克力,586,0,111,4,0,56,40,1,2,52,0,1,2,2,1,0,0,0,1,254,114,1,112,1,0
巧克力(酒芯),400,0,128,1,0,88,12,0,2,72,0,0,0,3,0,0,0,1,1,76,55,14,36,1,3
巧克力(维夫)[朱古力威化],572,0,61,8,0,69,38,0,6,48,0,1,1,12,1,0,0,0,2,292,128,2,111,0,0
山楂球,369,0,58,0,0,20,0,1,2,92,0,0,1,0,0,0,0,0,0,88,10,7,160,0,13
什锦糖果,399,0,8,0,0,3,0,0,2,99,0,0,0,0,4,0,0,0,0,14,3,0,180,0,13
水晶糖,395,0,0,0,0,13,0,0,3,98,0,0,0,0,1,0,0,0,0,9,5,1,108,0,13
酥糖,436,0,186,6,0,62,14,4,6,72,0,0,4,5,2,0,0,0,1,148,135,3,45,1,3
酸三色糖,397,0,10,0,0,9,0,0,2,98,0,0,0,0,0,0,0,0,0,11,2,1,155,0,13
鲜桃果汁糖,397,0,14,0,0,11,0,2,2,99,0,0,0,0,0,32,0,0,1,20,3,0,172,1,13
芝麻南糖,538,0,0,5,0,127,36,2,10,50,0,1,5,4,10,0,0,1,1,148,167,4,34,1,0
海棠脯,286,0,19,1,0,12,0,0,3,70,0,0,2,1,0,10,0,0,1,144,10,26,200,0,13
李广杏脯,284,0,397,3,0,49,0,2,12,68,8,0,5,0,3,80,0,6,1,409,26,24,146,7,21
南瓜果脯,336,0,176,1,0,15,0,0,0,83,7,0,1,0,0,0,0,10,0,5,15,15,16,8,21
苹果脯,337,0,9,1,0,5,0,0,2,83,0,0,2,0,0,12,0,0,0,67,12,14,13,0,13
青梅果脯,308,0,106,1,0,11,1,0,4,74,4,0,3,1,0,2,0,0,1,23,12,20,223,0,13
桃脯,310,0,96,1,0,29,0,1,10,75,6,0,2,6,0,8,0,0,1,286,32,19,243,1,13
西瓜脯,307,0,253,1,0,57,0,0,11,76,13,0,2,0,2,3,0,0,3,1040,21,19,529,4,30
杏脯,329,0,68,1,0,12,1,1,5,80,6,0,2,1,1,157,0,0,1,266,22,15,213,2,13
金糕,177,0,49,0,0,7,0,0,2,43,4,0,1,0,0,3,0,0,0,93,9,55,34,0,1
金糕条[山楂条],300,0,42,1,0,13,1,0,6,73,10,0,2,5,0,10,0,0,2,302,18,23,192,2,13
山楂果丹皮,321,0,52,1,0,66,1,1,12,77,3,0,3,2,1,25,0,1,2,312,41,17,116,1,3
牛油,835,0,9,0,0,1,92,0,3,2,0,0,0,0,1,54,153,0,0,3,9,6,9,0,16
牛油(炼),898,0,0,0,0,0,100,0,0,0,0,0,0,5,0,89,135,0,0,0,0,0,0,0,16
鸭油(炼),897,0,0,0,0,0,100,0,0,0,0,0,0,0,0,71,83,0,0,0,0,0,0,0,16
羊油,824,0,0,0,0,1,88,0,1,8,0,0,0,1,0,33,110,0,0,12,18,4,13,0,16
羊油(炼),895,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,107,0,0,0,0,0,0,0,16
猪油(板油),827,0,0,0,0,1,89,0,2,7,0,1,0,22,1,89,110,0,0,14,10,4,138,0,16
猪油(炼),897,0,0,0,0,0,100,0,0,0,0,0,0,5,0,27,93,0,0,0,0,0,0,0,16
菜籽油[青油],899,0,9,0,0,3,100,0,4,0,0,0,0,61,1,0,0,0,0,2,9,0,7,0,16
茶油,899,0,5,0,0,2,100,0,1,0,0,1,0,28,0,0,0,0,0,2,8,0,1,0,16
大麻油,899,0,15,0,0,4,100,0,3,0,0,0,0,9,0,0,0,0,0,3,6,0,2,0,16
豆油,899,0,13,0,0,3,100,0,2,0,0,0,0,93,1,0,0,0,0,3,7,0,5,0,16
红花油,899,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
胡麻油,900,0,3,0,0,1,100,0,0,0,0,0,0,390,0,0,0,0,0,0,5,0,1,0,14
花生油,899,0,12,0,0,2,100,0,3,0,0,0,0,42,0,0,0,0,0,1,15,0,4,0,16
葵花籽油,899,0,2,0,0,4,100,0,1,0,0,0,0,55,0,0,0,0,0,1,4,0,3,0,16
辣椒油,900,0,0,0,0,0,100,0,0,0,0,0,0,87,0,38,0,0,0,0,0,0,0,0,16
麻子籽,341,0,407,22,0,421,28,3,18,0,0,5,38,108,6,0,0,1,6,447,631,6,13,0,7
麦芽油,899,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
棉籽油,899,0,17,0,0,1,100,0,2,0,0,0,0,86,1,0,0,0,0,1,16,0,4,0,16
色拉油,898,0,18,0,0,1,100,0,2,0,0,0,0,24,0,0,64,0,0,3,1,0,5,0,16
椰子油,899,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
玉米油,895,0,1,0,0,3,99,0,1,0,0,0,0,51,0,0,0,0,0,2,18,0,1,0,16
芝麻油[香油],898,0,9,0,0,3,100,0,2,0,0,1,0,69,0,0,0,0,0,0,4,0,1,0,16
棕榈油,900,0,0,0,0,0,100,0,3,0,0,0,0,15,0,18,0,0,0,0,8,0,1,0,16
橄榄油,899,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
酱油(均值),63,0,66,6,0,156,0,2,9,10,0,1,0,0,1,0,0,0,17,337,204,67,5757,1,32
酱油(高级),71,0,30,8,0,130,0,2,3,9,0,1,0,0,1,0,0,0,15,430,38,68,4056,5,32
酱油(一级),66,0,27,8,0,130,1,2,7,7,0,1,0,0,2,0,0,0,19,848,173,65,4861,4,32
酱油(三级),40,0,14,7,0,0,0,0,2,2,0,1,0,0,0,0,0,0,16,200,19,74,1903,9,32
酱油(冬菇),39,0,18,4,0,50,0,1,1,6,0,0,0,0,0,0,0,0,15,220,16,75,2057,2,32
酱油(多味),86,0,79,8,0,66,0,2,4,13,0,0,0,0,2,0,0,0,21,602,227,58,4050,4,32
酱油(三鲜),41,0,58,3,0,30,0,1,2,7,0,0,0,0,3,0,0,0,16,118,57,74,2462,1,32
酱油(晒制),70,0,47,9,0,53,1,2,7,7,0,0,0,0,0,0,0,0,19,457,171,65,3836,2,32
酱油(特母),55,0,33,7,0,93,0,0,4,7,0,2,0,0,1,0,0,0,15,509,20,71,4580,6,32
酱油(味精),51,0,589,7,0,106,0,4,4,6,0,1,0,0,1,0,0,0,16,572,24,72,5843,4,32
醋(均值),31,0,17,2,0,13,0,1,6,5,0,3,0,0,1,0,0,0,2,351,96,91,262,2,1
白醋,6,0,26,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,1,12,0,99,226,0,1
陈醋,114,0,125,10,0,132,0,7,14,18,0,8,0,1,4,0,0,1,6,715,124,66,836,1,27
甘醋,37,0,42,3,0,98,0,1,10,6,0,4,0,0,2,0,0,0,2,187,269,88,460,2,1
黑醋,91,0,45,4,0,94,0,6,0,18,0,0,0,0,1,0,0,0,4,286,262,73,350,2,8
五香醋,14,0,105,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,1,116,32,96,185,1,1
香醋,68,0,37,4,0,92,0,2,3,13,0,1,0,0,8,0,0,0,3,117,0,80,184,5,1
熏醋,43,0,41,3,0,82,0,0,5,7,0,2,0,0,2,0,0,0,3,276,320,87,444,3,1
豆瓣酱,178,0,53,14,0,125,7,2,16,16,0,1,2,1,1,0,0,1,16,772,154,47,6012,10,32
豆瓣酱(辣油),184,0,66,8,0,84,6,1,10,25,0,1,2,18,1,0,0,0,11,549,104,48,2202,0,32
豆瓣辣酱,59,0,207,4,0,33,2,2,5,6,0,0,7,14,0,417,0,0,17,234,37,64,1269,30,32
花生酱,594,0,67,7,0,21,53,2,7,22,0,0,3,2,3,0,0,0,14,99,90,0,2340,2,0
黄酱[大酱],131,0,70,12,0,48,1,2,7,18,0,1,3,14,1,13,0,0,15,508,160,51,3606,12,32
酱油膏,99,0,46,13,0,158,1,2,9,10,0,1,0,0,1,0,0,0,21,460,374,55,7700,3,32
辣椒酱[辣椒糊],31,0,117,1,0,91,3,1,4,1,0,0,3,3,0,132,0,0,22,222,30,71,8028,1,32
麻辣酱,135,0,186,6,0,37,5,2,13,16,0,0,5,1,1,37,0,0,15,366,105,52,3222,3,32
牛肉辣瓣酱,127,0,65,10,0,23,6,3,8,8,0,0,1,3,2,99,0,0,16,243,104,59,3038,3,32
蒜蓉辣酱,88,0,71,5,0,26,1,1,11,16,0,1,4,16,2,162,0,0,16,308,54,59,3236,7,32
甜面酱,136,0,29,6,0,26,1,2,4,27,0,1,1,2,1,5,0,0,12,189,76,54,2097,6,32
五香豆豉,259,0,29,24,0,202,3,1,4,34,0,3,6,41,2,0,0,1,10,715,43,23,264,5,30
香油辣酱,54,0,10,2,0,27,4,2,13,3,0,0,6,3,1,350,0,0,13,201,36,71,1492,2,32
芝麻酱,618,0,1170,19,0,238,53,6,50,17,0,2,6,35,4,17,0,1,5,342,626,0,38,5,19
郫县辣酱,89,0,106,4,0,121,1,2,12,16,0,1,9,8,1,173,0,0,19,585,125,51,5658,1,32
草莓酱,269,0,44,1,0,4,0,0,2,66,1,0,0,0,0,0,0,0,0,52,8,32,9,1,13
番茄酱,81,0,28,5,0,37,0,6,1,15,0,0,2,4,1,0,0,0,2,989,117,76,37,0,1
柠檬酱,283,0,9,1,0,2,5,0,0,63,0,0,0,0,1,0,0,0,0,11,15,30,65,0,13
苹果酱,277,0,2,0,0,3,0,0,1,69,1,0,0,0,0,0,0,0,0,26,3,30,11,0,13
桃酱,273,0,5,0,0,6,0,0,1,68,3,0,0,0,0,0,0,0,0,62,11,31,14,0,13
杏酱,286,0,6,0,0,5,0,0,0,70,1,0,0,0,0,5,0,0,0,113,4,28,5,0,13
腐乳(白)[酱豆腐],133,0,61,11,0,75,8,1,4,4,0,1,1,8,1,22,0,0,8,84,74,68,2460,2,32
腐乳(臭)[臭豆腐],130,0,75,12,0,90,8,1,7,3,0,1,1,9,1,20,0,0,10,96,126,66,2012,0,32
腐乳(红)[酱豆腐],151,0,87,12,0,78,8,0,12,8,0,1,1,7,2,15,0,0,10,81,171,61,3091,7,32
桂林腐乳,204,0,302,7,0,81,11,0,10,18,0,1,1,13,3,22,0,1,2,283,75,60,3000,1,8
糟豆腐乳[糟乳],156,0,62,12,0,111,7,0,22,11,0,2,1,9,3,0,0,0,12,282,320,58,7410,0,32
八宝菜,72,0,110,5,0,38,1,0,5,10,0,0,3,1,1,0,0,0,8,109,77,72,2843,2,32
冬菜,46,0,135,4,0,0,0,1,11,7,0,1,3,0,1,12,0,0,18,443,81,68,7229,2,32
狗芽菜,23,0,125,1,0,29,0,0,4,4,0,0,2,0,0,0,0,0,11,341,15,81,2777,0,32
桂花大头菜[佛手疙瘩],51,0,257,3,0,77,0,1,8,9,0,1,2,0,1,0,0,0,21,170,44,65,6061,2,32
合锦菜,75,0,102,6,0,40,0,2,3,13,0,0,4,1,1,3,0,0,9,129,85,68,3077,2,32
姜(糟),27,0,39,2,0,125,1,1,4,3,0,3,1,0,0,0,0,0,25,387,2,68,9686,2,32
酱包瓜,107,0,15,5,0,55,0,1,4,22,0,1,3,2,0,0,0,0,11,136,60,59,2523,3,32
酱大头菜,36,0,77,2,0,57,0,1,7,6,5,1,2,0,1,0,0,0,14,268,41,75,4624,1,32
酱甘露[地蚕，甘露子],37,0,54,2,0,59,0,1,6,6,5,1,2,1,1,0,0,0,14,260,52,76,2839,2,32
酱黄瓜,24,0,52,3,0,17,0,1,4,2,0,1,1,0,1,30,0,0,17,299,73,76,3770,2,32
酱萝卜,30,0,102,4,0,38,0,1,4,3,0,1,1,0,1,0,0,0,16,373,60,76,6881,2,32
酱蘑菇,121,0,30,5,0,52,0,2,2,24,0,1,1,2,1,0,0,0,10,250,18,59,400,0,32
酱苤蓝丝,39,0,38,6,0,52,0,1,3,4,0,1,2,0,1,0,0,0,15,147,120,73,4981,2,32
酱莴笋,23,0,28,2,0,41,0,1,3,3,0,0,1,0,0,0,0,0,10,302,32,83,4665,1,32
芥菜干,141,0,1542,13,0,263,1,1,39,20,0,9,27,0,2,150,0,0,14,883,100,25,3333,2,36
金钱萝卜,41,0,158,2,0,29,0,0,9,8,0,0,2,1,1,43,0,0,14,365,33,74,3232,0,32
辣萝卜条,37,0,118,1,0,23,0,0,3,7,0,0,2,0,0,17,0,0,12,150,34,78,2651,1,32
萝卜干,60,0,53,3,0,44,0,1,3,11,17,1,3,0,1,0,0,0,14,508,65,68,4203,0,32
乳黄瓜[嫩黄瓜],32,0,44,2,0,33,0,0,3,6,7,0,2,0,1,0,0,0,9,220,21,81,3087,2,32
什锦菜,35,0,21,3,0,23,0,0,4,5,0,1,2,0,1,0,0,0,12,399,62,79,4093,0,32
酸芥菜,17,0,51,1,0,25,0,1,1,3,0,0,2,1,1,0,0,0,4,126,22,90,1164,2,1
蒜头(酱),104,0,6,4,0,24,0,0,4,21,0,0,3,0,1,0,0,0,4,450,73,67,3503,0,1
蒜头(甜)[糖蒜],114,0,38,2,0,13,0,0,1,26,0,0,2,1,0,0,0,0,4,174,44,66,692,1,1
甜辣黄瓜,99,0,96,3,0,27,0,0,4,22,0,0,1,0,0,0,0,0,12,157,53,63,0,1,32
甜酸皎头,97,0,68,0,0,7,0,0,4,23,0,0,0,0,0,0,0,0,2,55,6,74,809,1,1
五香大头菜,48,0,0,5,0,0,0,0,0,7,0,0,4,0,0,10,0,0,12,0,0,72,0,0,1
咸沙葱[蒙古韭],25,0,457,2,0,98,1,0,0,2,0,1,2,0,1,0,0,0,5,604,10,88,1712,4,1
洋姜(腌)[菊芋，鬼子姜],34,0,244,3,0,60,0,1,7,6,0,1,1,0,1,0,0,0,17,340,69,74,5443,2,32
榨菜,29,0,155,2,0,54,0,0,4,4,2,0,2,0,1,82,0,0,16,363,41,75,4253,2,32
蕨菜(腌),22,0,115,2,0,9,0,2,4,2,0,0,2,0,2,53,0,6,3,13,33,90,991,9,21
腌芥菜头[水芥，水疙瘩],39,0,87,3,0,17,0,1,3,7,0,0,3,0,0,0,0,0,17,284,41,70,7251,2,32
腌芥菜头(煮)[煮芥，煮疙瘩],26,0,174,2,0,46,0,1,6,4,0,0,2,0,1,2,0,0,21,297,45,71,6834,2,32
腌韭菜花,15,0,76,1,0,22,0,1,5,2,0,0,1,0,0,28,0,0,17,94,31,79,5184,3,32
腌龙须菜,67,0,8,1,0,192,0,0,6,15,0,0,2,1,1,0,0,0,14,1237,70,68,1103,2,32
腌雪里红,25,0,294,2,0,40,0,1,6,3,4,0,2,0,1,8,0,1,15,369,36,77,3304,1,32
八角[大料，大茴香],195,0,41,4,0,68,6,1,6,32,0,7,43,1,1,7,0,1,3,202,64,12,15,3,12
胡椒粉,357,0,2,10,0,128,2,2,9,75,0,1,2,0,1,10,0,0,1,154,172,10,5,8,3
花椒,258,0,639,7,0,111,9,2,8,38,0,3,29,2,2,23,0,1,7,204,69,11,47,2,12
黄毛籽,234,0,868,21,0,323,16,0,16,2,0,3,48,0,3,0,0,1,5,604,539,8,43,20,12
芥茉,476,0,656,24,0,321,30,5,17,28,0,3,7,10,4,32,0,1,4,366,530,7,8,69,7
苦豆子,212,0,332,5,1,44,2,2,4,43,0,1,29,55,1,0,0,0,7,26,97,14,28,14,12
辣椒粉,203,0,146,15,1,223,10,8,21,14,0,1,44,15,2,3123,0,1,8,1358,374,9,100,8,4
全料蒸肉粉,342,0,52,9,0,31,1,1,6,74,0,0,0,0,2,0,0,0,8,140,125,8,1679,61,3
五香粉,348,0,181,1,0,88,8,2,34,68,0,0,5,10,3,0,0,1,5,1138,66,12,27,6,30
茴香籽[小茴香籽],251,0,751,14,0,336,12,7,1,22,0,3,34,1,3,53,0,2,9,1104,336,9,80,2,12
湖盐[青盐],11,0,552,0,0,463,0,0,25,3,0,1,0,0,1,0,0,0,96,192,0,1,92768,0,2
精盐,0,0,22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,100,14,0,0,39311,1,34
土盐,0,0,49,0,0,248,0,0,3,0,0,0,0,0,0,0,0,0,100,30,11,0,39000,4,34
味精,268,0,100,40,0,7,0,0,1,26,0,1,0,0,0,0,0,0,33,4,4,0,8160,1,32
酵母(鲜),106,0,9,3,1,54,0,4,7,24,0,1,0,251,3,0,0,20,2,448,409,72,14,3,33
酵母(干),356,7,106,48,3,0,2,45,18,38,0,0,8,0,0,0,0,0,1,0,1893,4,0,0,17
白芷,324,0,3,9,1,19,2,1,4,69,1,1,5,2,1,0,0,1,4,100,118,12,27,3,3
薄荷(干),208,0,0,7,0,0,4,0,4,36,0,5,31,5,2,0,0,2,12,135,22,10,18,0,12
薄荷(鲜),24,0,341,4,0,133,0,0,4,2,6,1,5,0,1,213,0,1,0,677,99,83,4,0,1
北五味子叶(鲜)[五味子，秤砣子],70,0,363,4,0,0,0,2,7,13,23,0,2,0,0,847,0,0,2,0,22,79,0,0,1
车前(鲜),0,0,370,0,0,30,0,0,7,0,36,0,0,0,1,1028,0,1,0,455,49,84,2,0,1
车前子(鲜)[车轮菜],67,0,309,4,0,0,1,0,25,10,23,0,3,0,0,975,0,0,2,0,175,79,0,0,1
陈皮,278,0,82,8,0,113,1,2,9,58,7,1,21,7,1,68,0,1,3,186,85,8,21,4,3
丁香,359,0,137,0,0,0,17,0,0,51,0,0,17,4,1,0,0,1,6,47,10,9,122,13,3
防风(根，鲜),0,0,64,0,0,69,0,0,4,0,13,0,4,0,1,12,0,1,0,616,106,84,4,0,1
防风(叶，鲜),0,0,160,0,0,80,0,0,5,0,4,1,4,0,0,363,0,1,0,888,96,87,1,0,1
甘草,203,0,832,5,0,337,4,1,21,36,1,2,39,2,6,0,0,1,6,28,38,10,155,5,12
高良姜,169,0,75,11,0,0,6,0,0,19,0,36,43,4,5,0,0,1,9,87,8,13,8,13,10
红花,220,0,312,5,0,178,5,4,29,39,0,3,24,3,5,123,0,2,15,54,101,12,36,12,12
虎杖(鲜),0,0,17,0,0,13,0,0,0,0,1,1,2,0,0,0,0,0,0,204,32,94,0,0,1
菊花[怀菊花],242,0,234,6,1,256,3,9,78,47,1,3,16,2,2,0,0,1,8,132,88,19,20,11,18
决明(鲜),0,0,317,0,0,44,0,0,3,0,264,1,0,0,1,725,0,0,0,320,54,82,0,0,1
莱菔子,352,0,48,19,0,0,30,0,6,2,0,2,36,13,2,0,0,1,5,8,8,9,4,5,12
罗汉果,169,0,40,13,0,12,1,10,3,27,5,2,39,0,1,0,0,0,3,134,180,17,11,2,12
木榧[园榧],539,0,11,12,0,212,42,1,4,28,0,1,11,44,4,0,0,2,4,280,180,3,5,4,7
肉豆蔻,465,0,42,8,0,0,35,0,1,29,0,1,14,6,2,0,0,1,2,61,26,11,26,0,0
肉桂,199,0,88,12,0,0,3,0,0,32,0,11,40,8,0,0,0,1,3,167,1,12,1,1,12
砂仁,208,0,80,8,0,232,2,3,1,40,0,23,29,0,6,30,0,1,8,46,67,13,22,4,12
桃仁,429,0,0,0,0,0,38,0,0,22,0,0,29,0,0,0,0,0,3,0,63,8,0,0,12
乌梅,219,0,33,7,1,137,2,2,0,43,4,0,34,7,8,0,0,1,3,161,16,12,19,2,12
郁李仁,484,0,111,25,1,0,43,0,0,0,0,1,24,29,3,0,0,0,4,53,32,5,5,1,0
枣仁,367,0,81,1,0,0,24,0,1,37,0,2,24,18,5,0,0,1,4,31,52,11,12,1,12
紫苏,174,0,78,0,0,0,12,0,3,16,0,2,61,8,3,0,0,2,5,65,68,6,363,1,12
紫苏(鲜)[赤苏，白苏],51,0,311,4,0,283,1,1,8,6,24,1,4,0,1,1232,0,0,1,435,73,84,3,0,1
茯苓,16,0,2,1,0,8,0,0,9,2,0,1,81,0,0,0,0,0,1,58,32,14,1,5,12
藿香,189,0,436,10,1,264,5,4,7,26,1,39,38,0,2,0,0,2,9,47,183,13,46,1,10
藿香(鲜),0,0,275,0,0,198,0,0,8,0,10,1,6,0,1,607,0,1,0,508,75,80,0,0,1
藿香叶(鲜)[兜娄婆香],89,0,580,9,0,0,2,1,28,10,23,0,4,0,0,1063,0,0,4,0,104,72,0,0,1
枸杞子,258,0,60,14,0,96,2,4,5,47,48,1,17,2,1,1625,0,1,4,434,209,17,252,13,3
甲鱼[鳖],118,0,70,18,0,15,4,3,3,2,0,0,0,2,2,139,101,0,1,196,114,75,97,15,8
田鸡[青蛙],93,0,127,20,0,20,1,9,2,0,0,0,0,1,1,7,40,0,1,280,200,79,12,16,8
田鸡腿[青蛙腿],79,0,121,12,0,13,1,7,2,5,0,0,0,1,1,0,84,0,0,92,7,82,215,7,8
